Model,Activation,Alpha,Hidden_Layers,Learning_Rate,Solver,Accuracy,Precision,Recall,F1_Score
1,relu,0.0001,"(50,)",constant,adam,0.7686,0.7745,0.7686,0.769
2,relu,0.0001,"(50,)",constant,sgd,0.7548,0.7617,0.7548,0.7564
3,relu,0.0001,"(50,)",adaptive,adam,0.7605,0.7713,0.7605,0.7594
4,relu,0.0001,"(50,)",adaptive,sgd,0.7393,0.7499,0.7393,0.7422
5,relu,0.0001,"(20, 30, 40)",constant,adam,0.7301,0.7597,0.7301,0.7376
6,relu,0.0001,"(20, 30, 40)",constant,sgd,0.7463,0.7566,0.7463,0.7472
7,relu,0.0001,"(20, 30, 40)",adaptive,adam,0.7403,0.7608,0.7403,0.7426
8,relu,0.0001,"(20, 30, 40)",adaptive,sgd,0.7441,0.7574,0.7441,0.7436
9,relu,0.0001,"(64, 64)",constant,adam,0.7544,0.7744,0.7544,0.7526
10,relu,0.0001,"(64, 64)",constant,sgd,0.7553,0.7661,0.7553,0.7572
11,relu,0.0001,"(64, 64)",adaptive,adam,0.7409,0.7592,0.7409,0.741
12,relu,0.0001,"(64, 64)",adaptive,sgd,0.7474,0.7586,0.7474,0.7489
13,relu,0.001,"(50,)",constant,adam,0.7605,0.7709,0.7605,0.7613
14,relu,0.001,"(50,)",constant,sgd,0.7458,0.7549,0.7458,0.7488
15,relu,0.001,"(50,)",adaptive,adam,0.7662,0.7764,0.7662,0.7659
16,relu,0.001,"(50,)",adaptive,sgd,0.7366,0.7478,0.7366,0.7399
17,relu,0.001,"(20, 30, 40)",constant,adam,0.7367,0.7563,0.7367,0.7378
18,relu,0.001,"(20, 30, 40)",constant,sgd,0.7436,0.7611,0.7436,0.7481
19,relu,0.001,"(20, 30, 40)",adaptive,adam,0.7494,0.7651,0.7494,0.7508
20,relu,0.001,"(20, 30, 40)",adaptive,sgd,0.7405,0.7553,0.7405,0.7406
21,relu,0.001,"(64, 64)",constant,adam,0.7634,0.7764,0.7634,0.7623
22,relu,0.001,"(64, 64)",constant,sgd,0.7477,0.7601,0.7477,0.7507
23,relu,0.001,"(64, 64)",adaptive,adam,0.7596,0.7737,0.7596,0.7607
24,relu,0.001,"(64, 64)",adaptive,sgd,0.7655,0.7789,0.7655,0.769
25,tanh,0.0001,"(50,)",constant,adam,0.7547,0.764,0.7547,0.756
26,tanh,0.0001,"(50,)",constant,sgd,0.7669,0.7688,0.7669,0.7673
27,tanh,0.0001,"(50,)",adaptive,adam,0.739,0.7559,0.739,0.7414
28,tanh,0.0001,"(50,)",adaptive,sgd,0.7618,0.7649,0.7618,0.7623
29,tanh,0.0001,"(20, 30, 40)",constant,adam,0.7235,0.7425,0.7235,0.7242
30,tanh,0.0001,"(20, 30, 40)",constant,sgd,0.7541,0.7627,0.7541,0.7562
31,tanh,0.0001,"(20, 30, 40)",adaptive,adam,0.7567,0.7727,0.7567,0.7594
32,tanh,0.0001,"(20, 30, 40)",adaptive,sgd,0.7535,0.7581,0.7535,0.7539
33,tanh,0.0001,"(64, 64)",constant,adam,0.7682,0.7829,0.7682,0.7696
34,tanh,0.0001,"(64, 64)",constant,sgd,0.7788,0.784,0.7788,0.7803
35,tanh,0.0001,"(64, 64)",adaptive,adam,0.7548,0.7689,0.7548,0.7548
36,tanh,0.0001,"(64, 64)",adaptive,sgd,0.7881,0.7937,0.7881,0.7897
37,tanh,0.001,"(50,)",constant,adam,0.7631,0.7744,0.7631,0.7644
38,tanh,0.001,"(50,)",constant,sgd,0.7689,0.7717,0.7689,0.7696
39,tanh,0.001,"(50,)",adaptive,adam,0.7484,0.7625,0.7484,0.7507
40,tanh,0.001,"(50,)",adaptive,sgd,0.763,0.7647,0.763,0.7632
41,tanh,0.001,"(20, 30, 40)",constant,adam,0.7319,0.7455,0.7319,0.7321
42,tanh,0.001,"(20, 30, 40)",constant,sgd,0.759,0.7658,0.759,0.7603
43,tanh,0.001,"(20, 30, 40)",adaptive,adam,0.7379,0.7603,0.7379,0.7413
44,tanh,0.001,"(20, 30, 40)",adaptive,sgd,0.7537,0.7614,0.7537,0.7548
45,tanh,0.001,"(64, 64)",constant,adam,0.7663,0.7817,0.7663,0.7664
46,tanh,0.001,"(64, 64)",constant,sgd,0.7788,0.7839,0.7788,0.78
47,tanh,0.001,"(64, 64)",adaptive,adam,0.7705,0.7835,0.7705,0.7706
48,tanh,0.001,"(64, 64)",adaptive,sgd,0.779,0.785,0.779,0.7804
